,"region","sp","family","Kipps","guild","env","iso1","iso2","dist","Dgeo_m$dist","resist_dist$dist","saz_dist$dist","sta_dist$dist","re_sa_dist$dist","re_st_dist$dist","sa_st_dist$dist","sa_re_st_dist$dist","TDIV","resist_resi","saz_resi","sta_resi"
"166","NN","difficilis","tyra",14.11,"Insectivorous","bamboo","N_LGEMA19537_Nm","N_LGEMA18628_Nb",0.954198473282428,77.248907460916,20.8430951860311,27.4592304085669,59.5946003681905,152.537561906585,54.2241465727442,81.5424007745339,71.8068413795061,300702,4.66009576634367,6.15846112948953,11.544203333351
"613","NN","difficilis","tyra",14.11,"Insectivorous","bamboo","N_LGEMA19546_Nm","N_LGEMA18507_Nb",0.648854961832051,93.8418332269374,17.9289747915003,29.486087569616,63.4379129992754,161.461297882869,57.898304171294,86.9810030265622,76.8698479640226,300702,0.542880803798866,7.05329027914717,13.7844577104548
"284","NN","difficilis","tyra",14.11,"Insectivorous","bamboo","N_LGEMA19546_Nm","N_LGEMA18795_Nb",0.717557251908393,98.2635802277127,13.6447717313036,29.8685178156909,68.1351745846379,169.723746471508,63.6883983563094,94.6458447074712,85.568300659538,300702,-4.0619275476394,7.13405332470858,18.0545301354147
"176","NN","difficilis","tyra",14.11,"Insectivorous","bamboo","N_LGEMA19546_Nm","N_LGEMA18628_Nb",0.625954198473282,92.4946285733222,17.9289747915003,29.486087569616,63.4379129992754,161.461297882869,57.898304171294,86.9810030265622,76.8698479640226,300702,0.640561865211598,7.14520133970843,13.9146124264002
"713","NS","difficilis","tyra",14.11,"Insectivorous","bamboo","S_LGEMA18386_S","N_LGEMA18507_Nb",0.759541984732821,459.268221041627,49.880731977187,54.7528994707049,95.2761780267906,229.107232161498,86.6509367173348,123.069254611617,114.488020490553,300702,5.99885849958257,7.38942311006649,10.318533743862
"813","NS","difficilis","tyra",14.11,"Insectivorous","bamboo","S_LGEMA18387_S","N_LGEMA18507_Nb",0.765267175572521,459.268221041627,49.880731977187,54.7528994707049,95.2761780267906,229.107232161498,86.6509367173348,123.069254611617,114.488020490553,300702,5.99885849958257,7.38942311006649,10.318533743862
"912","NS","difficilis","tyra",14.11,"Insectivorous","bamboo","S_LGEMA18527_S","N_LGEMA18507_Nb",0.690839694656479,459.268221041627,49.880731977187,54.7528994707049,95.2761780267906,229.107232161498,86.6509367173348,123.069254611617,114.488020490553,300702,5.99885849958257,7.38942311006649,10.318533743862
"186","NS","difficilis","tyra",14.11,"Insectivorous","bamboo","S_LGEMA18386_S","N_LGEMA18628_Nb",0.797709923664119,459.209520373126,49.880731977187,54.7528994707049,95.2761780267906,229.107232161498,86.6509367173348,123.069254611617,114.488020490553,300702,6.00311467817387,7.39342787703571,10.3242048709726
"194","NS","difficilis","tyra",14.11,"Insectivorous","bamboo","S_LGEMA18387_S","N_LGEMA18628_Nb",0.749999999999992,459.209520373126,49.880731977187,54.7528994707049,95.2761780267906,229.107232161498,86.6509367173348,123.069254611617,114.488020490553,300702,6.00311467817387,7.39342787703571,10.3242048709726
"204","NS","difficilis","tyra",14.11,"Insectivorous","bamboo","S_LGEMA18527_S","N_LGEMA18628_Nb",0.706106870229008,459.209520373126,49.880731977187,54.7528994707049,95.2761780267906,229.107232161498,86.6509367173348,123.069254611617,114.488020490553,300702,6.00311467817387,7.39342787703571,10.3242048709726
"104","NS","difficilis","tyra",14.11,"Insectivorous","bamboo","S_LGEMA18529_S","N_LGEMA18507_Nb",0.78244274809159,459.268221041627,48.5894700314463,54.8499302315732,98.7772844332601,232.431390896545,94.2445639978769,130.407416373487,124.259685513858,300702,4.70759655384187,7.48645387093479,13.8196401503315
"218","NS","difficilis","tyra",14.11,"Insectivorous","bamboo","S_LGEMA18529_S","N_LGEMA18628_Nb",0.732824427480906,459.209520373126,48.5894700314463,54.8499302315732,98.7772844332601,232.431390896545,94.2445639978769,130.407416373487,124.259685513858,300702,4.71185273243317,7.49045863790401,13.8253112774421
"1521","SS","lalandi","thro",58.7,"Nectarivorous","understory","S_LGEMA18142_S","S_LGEMA15778_S",0.152740641711229,507.893288029352,20.7660904389337,33.3038665886419,27.2125411966569,21.4494325111026,27.0170446381602,30.1781972395437,24.175369913252,369263,-134.384678685674,-27.6704840197229,-345.490700503221
"1531","SS","lalandi","thro",58.7,"Nectarivorous","understory","S_LGEMA18394_S","S_LGEMA15778_S",0.134692513368976,507.893288029352,20.7660904389337,33.3038665886419,27.2125411966569,21.4494325111026,27.0170446381602,30.1781972395437,24.175369913252,369263,-134.384678685674,-27.6704840197229,-345.490700503221
"138","SS","lalandi","thro",58.7,"Nectarivorous","understory","S_LGEMA18142_S","S_LGEMA15766_S",0.136864973262025,507.893288029352,21.373110366617,34.6205313279612,35.4271274026988,21.8116689910063,41.1080552055356,42.0645125956891,27.2009323279856,369263,-133.777658757991,-26.3538192804036,-337.276114297179
"139","SS","lalandi","thro",58.7,"Nectarivorous","understory","S_LGEMA18394_S","S_LGEMA15766_S",0.135528074866309,507.893288029352,21.373110366617,34.6205313279612,35.4271274026988,21.8116689910063,41.1080552055356,42.0645125956891,27.2009323279856,369263,-133.777658757991,-26.3538192804036,-337.276114297179
"318","NN","lalandi","thro",58.7,"Nectarivorous","understory","N_LGEMA15754_Nb","N_LGEMA14716_Nb",0.072025401069512,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,369263,-6.39360888942896,-25.7845676851308,3.39831757079048
"624","NN","lalandi","thro",58.7,"Nectarivorous","understory","N_LGEMA18138_Nm","N_LGEMA17784_Nm",0.058155080213896,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,369263,-6.39360888942902,-25.7845676851308,3.39831757079027
"167","SS","lalandi","thro",58.7,"Nectarivorous","understory","S_LGEMA18394_S","S_LGEMA18142_S",0.123997326203202,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,369263,-6.39360888942905,-25.7845676851308,3.39831757079018
"124","SS","lalandi","thro",58.7,"Nectarivorous","understory","S_LGEMA18142_S","S_LGEMA13417_S",0.134692513368976,315.941902861602,14.304843661518,25.0508083397018,21.1008358643281,14.3284658205489,20.5663091326676,26.2878376735732,14.5285873199102,369263,-84.614101148167,-22.6214216319744,-209.431926296674
"125","SS","lalandi","thro",58.7,"Nectarivorous","understory","S_LGEMA18394_S","S_LGEMA13417_S",0.135360962566838,315.941902861602,14.304843661518,25.0508083397018,21.1008358643281,14.3284658205489,20.5663091326676,26.2878376735732,14.5285873199102,369263,-84.614101148167,-22.6214216319744,-209.431926296674
"1541","SS","lalandi","thro",58.7,"Nectarivorous","understory","S_LGEMA18483_S","S_LGEMA15778_S",0.110294117647057,317.112614513353,24.8913413605696,28.5826339397305,27.150261851388,26.1811521873036,29.8791238639847,30.9326602165124,25.0990263362271,369263,-74.3705613906128,-19.1707256763542,-204.249598178097
